Year,Month,Data,mm,SLR
1922,10,12,2556,-125
1922,10,13,2431,-37
1922,10,14,2394,86
1922,10,15,2480,106
1922,10,16,2586,15
1922,10,17,2601,-176
1922,10,18,2425,-151
1922,10,19,2274,100
1922,10,20,2374,39
1922,10,21,2413,16
1922,10,22,2429,107
1922,10,23,2536,4
1922,10,24,2540,-68
1922,10,25,2472,103
1922,10,26,2575,-23
1922,10,27,2552,-59
1922,10,28,2493,-35
1922,10,29,2458,49
1922,10,30,2507,104
1922,10,31,2611,14
1922,11,1,2625,-108
1922,11,2,2517,38
1922,11,3,2555,-47
1922,11,4,2508,-50
1922,11,5,2458,0
1922,11,6,2458,46
1922,11,7,2504,61
1922,11,8,2565,-66
1922,11,9,2499,-166
1922,11,10,2333,44
1922,11,11,2377,86
1922,11,12,2463,-111
1922,11,13,2352,56
1922,11,14,2408,86
1922,11,15,2494,-58
1922,11,16,2436,-13
1922,11,17,2423,43
1922,11,18,2466,85
1922,11,19,2551,53
1922,11,20,2604,-37
1922,11,21,2567,-41
1922,11,22,2526,20
1922,11,23,2546,-23
1922,11,24,2523,-8
1922,11,25,2515,49
1922,11,26,2564,52
1922,11,27,2616,161
1922,11,28,2777,-233
1922,11,29,2544,-174
1922,11,30,2370,22
1922,12,1,2392,-93
1922,12,2,2299,96
1922,12,3,2395,79
1922,12,4,2474,29
1922,12,5,2503,-170
1922,12,6,2333,31
1922,12,7,2364,152
1922,12,8,2516,-7
1922,12,9,2509,-131
1922,12,10,2378,-59
1922,12,11,2319,96
1922,12,12,2415,-227
1922,12,13,2188,-12
1922,12,14,2176,323
1922,12,15,2499,-50
1922,12,16,2449,31
1922,12,17,2480,-29
1922,12,18,2451,-139
1922,12,19,2312,-16
1922,12,20,2296,145
1922,12,21,2441,108
1922,12,22,2549,-58
1922,12,23,2491,-92
1922,12,24,2399,80
1922,12,25,2479,21
1922,12,26,2500,-37
1922,12,27,2463,388
1922,12,28,2851,183
1922,12,29,3034,-366
1922,12,30,2668,-187
1922,12,31,2481,34
1923,1,1,2515,-94
1923,1,2,2421,106
1923,1,3,2527,174
1923,1,4,2701,-288
1923,1,5,2413,52
1923,1,6,2465,156
1923,1,7,2621,179
1923,1,8,2800,-112
1923,1,9,2688,-105
1923,1,10,2583,-120
1923,1,11,2463,176
1923,1,12,2639,-146
1923,1,13,2493,-246
1923,1,14,2247,315
1923,1,15,2562,66
1923,1,16,2628,-146
1923,1,17,2482,-43
1923,1,18,2439,-110
1923,1,19,2329,6
1923,1,20,2335,75
1923,1,21,2410,-112
1923,1,22,2298,-83
1923,1,23,2215,151
1923,1,24,2366,97
1923,1,25,2463,-48
1923,1,26,2415,65
1923,1,27,2480,20
1923,1,28,2500,-45
1923,1,29,2455,-257
1923,1,30,2198,122
1923,1,31,2320,152
1923,2,1,2472,39
1923,2,2,2511,22
1923,2,3,2533,-208
1923,2,4,2325,-120
1923,2,5,2205,-10
1923,2,6,2195,104
1923,2,7,2299,25
1923,2,8,2324,-8
1923,2,9,2316,95
1923,2,10,2411,-9
1923,2,11,2402,-121
1923,2,12,2281,296
1923,2,13,2577,98
1923,2,14,2675,-197
1923,2,15,2478,7
1923,2,16,2485,-31
1923,2,17,2454,-4
1923,2,18,2450,-74
1923,2,19,2376,-7
1923,2,20,2369,34
1923,2,21,2403,24
1923,2,22,2427,4
1923,2,23,2431,-28
1923,2,24,2403,15
1923,2,25,2418,9
1923,2,26,2427,71
1923,2,27,2498,71
1923,2,28,2569,24
1923,3,1,2593,14
1923,3,2,2607,-11
1923,3,3,2596,-1
1923,3,4,2595,-135
1923,3,5,2460,-74
1923,3,6,2386,230
1923,3,7,2616,-330
1923,3,8,2286,10
1923,3,9,2296,87
1923,3,10,2383,-55
1923,3,11,2328,111
1923,3,12,2439,153
1923,3,13,2592,-96
1923,3,14,2496,-199
1923,3,15,2297,69
1923,3,16,2366,13
1923,3,17,2379,-8
1923,3,18,2371,128
1923,3,19,2499,-290
1923,3,20,2209,13
1923,3,21,2222,227
1923,3,22,2449,45
1923,3,23,2494,34
1923,3,24,2528,-118
1923,3,25,2410,51
1923,3,26,2461,24
1923,3,27,2485,-129
1923,3,28,2356,-185
1923,3,29,2171,228
1923,3,30,2399,56
1923,3,31,2455,-215
1923,4,1,2240,-9
